Timestamp,Acc_X,Acc_Y,Acc_Z,Activity
1581740007207,-1.4198151,5.827545,9.432205,JOGGING
1581740007224,-3.0885773,5.503128,11.601349,JOGGING
1581740007243,-1.3779297,4.277298,13.587341,JOGGING
1581740007262,0.707428,3.3579254,13.424545,JOGGING
1581740007282,0.9456482,2.9664764,10.629303,JOGGING
1581740007304,0.07775879,3.969635,8.229126,JOGGING
1581740007323,-1.0535126,4.6507874,7.585083,JOGGING
1581740007343,-1.4162292,4.8770447,8.1249695,JOGGING
1581740007362,-1.4138489,4.921341,9.047943,JOGGING
1581740007382,-0.9840851,2.913803,9.053925,JOGGING
1581740007403,0.68588257,1.8974609,8.668457,JOGGING
1581740007469,2.6215973,4.1528015,9.103012,JOGGING
1581740007470,0.99354553,5.6048737,8.181229,JOGGING
1581740007470,-0.7446594,5.554596,7.6353607,JOGGING
1581740007481,-1.1420898,4.5765686,6.2311554,JOGGING
1581740007501,-0.014419556,4.00795,5.4015656,JOGGING
1581740007523,1.691452,3.9026031,5.589508,JOGGING
1581740007541,1.9847412,4.304825,7.4617767,JOGGING
1581740007562,0.008331299,4.6555786,9.305313,JOGGING
1581740007584,-1.4940491,5.223007,8.929413,JOGGING
1581740007603,-0.6117859,3.308838,8.973709,JOGGING
1581740007661,1.1084595,2.1859589,10.325241,JOGGING
1581740007661,1.6208191,1.8543701,10.070267,JOGGING
1581740007661,1.1407776,3.312439,8.674438,JOGGING
1581740007679,-2.3068695,4.684311,9.690781,JOGGING
1581740007699,-2.6971283,4.1144867,11.075821,JOGGING
1581740007719,-1.7945099,2.8395844,11.200317,JOGGING
1581740007738,-1.1672363,3.4967957,11.394257,JOGGING
1581740007760,-1.3455963,4.8088074,9.111389,JOGGING
1581740007785,-0.7602234,4.775284,7.205597,JOGGING
1581740007797,2.8729858,2.6468353,8.531982,JOGGING
1581740007833,3.1914215,1.593399,10.279755,JOGGING
1581740007837,1.2221832,2.336792,12.146042,JOGGING
1581740007858,0.21302795,3.2046967,10.956116,JOGGING
1581740007878,0.40097046,3.9959717,7.4366302,JOGGING
1581740007898,2.067337,3.791275,6.845276,JOGGING
1581740007918,2.3414764,2.7294464,8.451782,JOGGING
1581740007938,0.62124634,1.8807068,10.145676,JOGGING
1581740007960,-0.91703796,2.2398376,10.28096,JOGGING
1581740007982,-0.33644104,3.1975098,8.973724,JOGGING
1581740007998,-0.17723083,3.6464233,7.4055176,JOGGING
1581740008049,-0.5399475,3.4249573,6.9637756,JOGGING
1581740008049,-1.0092163,3.3399658,7.5276184,JOGGING
1581740008056,-1.1708374,3.9026031,7.332489,JOGGING
1581740008076,-0.8607788,4.2713165,6.6417694,JOGGING
1581740008096,0.03704834,4.115692,6.2718506,JOGGING
1581740008117,-0.28855896,4.1779327,6.5830994,JOGGING
1581740008136,-1.3204651,3.9277496,7.5802917,JOGGING
1581740008160,-1.8005066,4.206665,8.339249,JOGGING
1581740008177,-2.5331268,4.34433,9.111374,JOGGING
1581740008220,-2.1285095,4.359894,9.071884,JOGGING
1581740008222,-1.7550201,4.1575775,8.433823,JOGGING
1581740008234,-1.9226074,3.8235931,8.299744,JOGGING
1581740008254,-2.834793,3.6428375,8.840836,JOGGING
1581740008275,-3.1089325,4.028305,7.9705505,JOGGING
1581740008294,-4.233017,3.90979,6.063568,JOGGING
1581740008314,-7.114441,5.1248474,4.8281555,JOGGING
1581740008334,-9.449982,5.170334,4.841324,JOGGING
1581740008356,-8.485123,3.5829773,6.9709625,JOGGING
1581740008375,-8.348648,3.1184998,7.5479736,JOGGING
1581740008418,-7.569336,2.2170868,5.4015656,JOGGING
1581740008422,-7.3023834,2.439743,3.173767,JOGGING
1581740008433,-7.5034943,2.798874,2.4758453,JOGGING
1581740008455,-7.720169,3.7062836,2.92836,JOGGING
1581740008472,-9.478714,5.182312,2.0843964,JOGGING
1581740008492,-10.559692,6.20224,1.7228851,JOGGING
1581740008513,-10.278366,6.04541,3.577179,JOGGING
1581740008532,-9.987473,6.6703033,5.4733887,JOGGING
