Timestamp,Acc_X,Acc_Y,Acc_Z,Activity
1581740150784,-1.1828003,3.288498,9.865555,RUNNING
1581740150804,-1.727478,3.253769,10.492828,RUNNING
1581740150824,-1.640091,3.506363,10.544312,RUNNING
1581740150844,-2.6875458,3.681137,8.955765,RUNNING
1581740150863,-2.692337,3.272934,9.253845,RUNNING
1581740150886,-3.276535,2.6300812,10.482071,RUNNING
1581740150904,-3.703888,2.6480408,10.684372,RUNNING
1581740150926,-2.8707123,2.2553864,9.17244,RUNNING
1581740150942,-2.747406,2.276947,8.211166,RUNNING
1581740150963,-2.1548462,2.0351257,7.676056,RUNNING
1581740151014,-2.6863556,1.7107086,8.030411,RUNNING
1581740151015,-3.6667786,1.6149445,8.487686,RUNNING
1581740151039,-3.4716492,1.4497375,8.7929535,RUNNING
1581740151042,-3.3890533,1.7705688,8.369186,RUNNING
1581740151060,-3.549469,1.4437561,7.983719,RUNNING
1581740151081,-3.0718231,1.3049011,8.315308,RUNNING
1581740151102,-5.9161377,0.3244629,9.146103,RUNNING
1581740151123,0.6296234,2.5043945,9.822464,RUNNING
1581740151141,-1.04393,1.4856567,8.26384,RUNNING
1581740151161,0.33154297,1.5610657,8.089066,RUNNING
1581740151193,0.47998047,2.6995087,7.9741364,RUNNING
1581740151201,-0.96492004,3.2035065,7.261856,RUNNING
1581740151222,0.7062378,3.3267975,7.162506,RUNNING
1581740151240,0.49673462,3.602127,8.700775,RUNNING
1581740151260,0.1747284,5.092514,11.258987,RUNNING
1581740151280,2.21698,7.523834,10.8364105,RUNNING
1581740151300,6.6713867,8.680237,12.262146,RUNNING
1581740151321,5.252823,9.409271,17.444397,RUNNING
1581740151340,0.3626709,9.8689575,22.966629,RUNNING
1581740151361,-2.5510864,9.637909,26.678833,RUNNING
1581740151392,-5.5079193,8.009857,25.431458,RUNNING
1581740151402,-6.557785,5.6838837,18.785156,RUNNING
1581740151420,-6.664322,5.2912445,14.499527,RUNNING
