Timestamp,Acc_X,Acc_Y,Acc_Z,Activity
1581738532164,-0.12695312,-0.08255005,9.695557,SITTING
1581738532164,-0.13414001,-0.08255005,9.712326,SITTING
1581738532164,-0.13891602,-0.0657959,9.697952,SITTING
1581738532164,-0.16047668,-0.04902649,9.731476,SITTING
1581738532164,-0.17723083,-0.03466797,9.700348,SITTING
1581738532164,-0.16285706,-0.06100464,9.695557,SITTING
1581738532164,-0.13414001,-0.07296753,9.705139,SITTING
1581738532171,-0.14370728,-0.08015442,9.70993,SITTING
1581738532190,-0.16047668,-0.08015442,9.707535,SITTING
1581738532210,-0.16285706,-0.06817627,9.695557,SITTING
1581738532230,-0.16525269,-0.04902649,9.705139,SITTING
1581738532249,-0.18441772,-0.0657959,9.693176,SITTING
1581738532269,-0.16764832,-0.06100464,9.693176,SITTING
1581738532289,-0.14131165,-0.04423523,9.712326,SITTING
1581738532309,-0.13891602,-0.05860901,9.700348,SITTING
1581738532329,-0.15089417,-0.0657959,9.700348,SITTING
1581738532348,-0.16764832,-0.05621338,9.717117,SITTING
1581738532369,-0.17723083,-0.06817627,9.702744,SITTING
1581738532389,-0.18681335,-0.0657959,9.702744,SITTING
1581738532408,-0.16047668,-0.0657959,9.688385,SITTING
1581738532442,-0.1461029,-0.06100464,9.700348,SITTING
1581738532447,-0.13891602,-0.05860901,9.693176,SITTING
1581738532480,-0.15089417,-0.05142212,9.681198,SITTING
1581738532487,-0.14370728,-0.06340027,9.712326,SITTING
1581738532507,-0.16525269,-0.0657959,9.707535,SITTING
1581738532526,-0.16047668,-0.05860901,9.702744,SITTING
1581738532547,-0.16047668,-0.04423523,9.714722,SITTING
1581738532568,-0.15089417,-0.04902649,9.719513,SITTING
1581738532588,-0.15089417,-0.06817627,9.690781,SITTING
1581738532608,-0.15568542,-0.0657959,9.688385,SITTING
1581738532642,-0.1532898,-0.0705719,9.697952,SITTING
1581738532647,-0.16285706,-0.0657959,9.70993,SITTING
1581738532680,-0.16525269,-0.05621338,9.697952,SITTING
1581738532687,-0.1532898,-0.04902649,9.690781,SITTING
1581738532706,-0.15808105,-0.07296753,9.70993,SITTING
1581738532726,-0.15089417,-0.0657959,9.717117,SITTING
1581738532747,-0.13891602,-0.05142212,9.707535,SITTING
1581738532766,-0.14849854,-0.05142212,9.695557,SITTING
1581738532788,-0.15808105,-0.0657959,9.717117,SITTING
1581738532808,-0.16764832,-0.06100464,9.693176,SITTING
1581738532840,-0.16764832,-0.06817627,9.721893,SITTING
1581738532854,-0.18441772,-0.06100464,9.702744,SITTING
1581738532886,-0.1820221,-0.07536316,9.712326,SITTING
1581738532887,-0.15568542,-0.06817627,9.724289,SITTING
1581738532905,-0.1461029,-0.05621338,9.702744,SITTING
1581738532924,-0.13891602,-0.06340027,9.724289,SITTING
1581738532947,-0.16285706,-0.05621338,9.70993,SITTING
1581738532963,-0.1748352,-0.04663086,9.693176,SITTING
1581738532983,-0.16285706,-0.04423523,9.707535,SITTING
1581738533002,-0.16764832,-0.05621338,9.712326,SITTING
