Timestamp,Acc_X,Acc_Y,Acc_Z,Activity
1581740379301,0.67271423,4.807617,9.098221,STAIRCLIMB
1581740379301,1.5549774,4.878235,6.216797,STAIRCLIMB
1581740379321,0.92051697,5.298416,6.5914917,STAIRCLIMB
1581740379321,-0.19160461,5.522278,8.585861,STAIRCLIMB
1581740379339,-0.112594604,5.088928,9.574661,STAIRCLIMB
1581740379358,1.0282593,4.6819153,8.481705,STAIRCLIMB
1581740379379,1.2437286,4.969223,7.85083,STAIRCLIMB
1581740379398,0.48477173,4.8973846,8.803726,STAIRCLIMB
1581740379418,0.22619629,4.060623,9.4609375,STAIRCLIMB
1581740379439,0.70144653,4.304825,9.250244,STAIRCLIMB
1581740379488,0.7253876,4.7980347,8.4422,STAIRCLIMB
1581740379488,0.40576172,4.960846,7.2941895,STAIRCLIMB
1581740379497,0.6224365,4.6352234,6.829712,STAIRCLIMB
1581740379517,0.6906738,3.518341,7.9549866,STAIRCLIMB
1581740379543,0.5769501,2.8922577,9.517197,STAIRCLIMB
1581740379557,1.0246582,3.1280823,10.371933,STAIRCLIMB
1581740379577,1.186264,3.8415527,10.031952,STAIRCLIMB
1581740379596,0.7756653,4.6627655,8.747467,STAIRCLIMB
1581740379617,0.09690857,4.8207855,7.3731995,STAIRCLIMB
1581740379637,-0.0730896,3.9756317,6.8596344,STAIRCLIMB
1581740379675,0.7205963,3.0430756,7.744293,STAIRCLIMB
1581740379681,0.960022,3.0083618,9.660843,STAIRCLIMB
1581740379695,0.8067932,3.5243225,10.766983,STAIRCLIMB
1581740379715,-0.047943115,3.7374115,10.388687,STAIRCLIMB
1581740379761,-0.16166687,3.7290192,9.387909,STAIRCLIMB
1581740379761,0.17112732,3.486023,9.027588,STAIRCLIMB
1581740379775,0.63679504,2.6253052,8.651703,STAIRCLIMB
1581740379794,0.8043976,2.2589874,9.053925,STAIRCLIMB
1581740379815,0.66433716,2.2589874,9.087448,STAIRCLIMB
1581740379834,0.766098,1.5754395,9.264618,STAIRCLIMB
1581740379873,1.1479645,1.3192596,9.702759,STAIRCLIMB
1581740379881,1.588501,1.8220367,10.965698,STAIRCLIMB
1581740379895,2.4240723,2.6779633,12.992386,STAIRCLIMB
1581740379914,3.1100159,2.7857056,12.713455,STAIRCLIMB
1581740379959,0.93489075,1.1396942,10.016388,STAIRCLIMB
1581740379959,-0.99365234,0.13891602,7.9430084,STAIRCLIMB
1581740379974,-1.4234161,-0.13282776,8.278198,STAIRCLIMB
1581740379994,-0.24786377,-0.0370636,10.495224,STAIRCLIMB
1581740380014,1.1084595,0.22750854,12.046677,STAIRCLIMB
1581740380033,0.6368103,-0.5039215,10.3072815,STAIRCLIMB
1581740380074,0.5721588,-0.8810272,8.741486,STAIRCLIMB
1581740380075,1.5310364,0.1353302,9.575851,STAIRCLIMB
1581740380095,1.7548981,0.42861938,10.091812,STAIRCLIMB
1581740380112,0.7852478,0.8871002,8.814499,STAIRCLIMB
1581740380154,-0.3292694,2.3786926,9.166443,STAIRCLIMB
1581740380168,-0.05632019,0.8428192,11.539108,STAIRCLIMB
1581740380171,-0.4848938,-0.06340027,12.25856,STAIRCLIMB
1581740380191,-0.43460083,-0.10769653,12.639236,STAIRCLIMB
1581740380213,0.06578064,0.16645813,11.083008,STAIRCLIMB
1581740380232,0.4716034,0.6572571,9.270599,STAIRCLIMB
1581740380274,0.5769501,1.0391388,7.7299194,STAIRCLIMB
1581740380274,0.7241974,1.6580353,7.173279,STAIRCLIMB
1581740380291,0.6583557,2.8096466,8.353622,STAIRCLIMB
1581740380311,-0.17843628,2.8419647,7.1373596,STAIRCLIMB
1581740380335,0.36027527,3.4405212,6.635788,STAIRCLIMB
1581740380350,1.0294495,3.736206,7.0727234,STAIRCLIMB
1581740380370,0.25611877,3.5769958,7.77182,STAIRCLIMB
1581740380391,0.0418396,3.7074738,9.097015,STAIRCLIMB
1581740380410,-0.19758606,2.7881012,10.681976,STAIRCLIMB
1581740380430,-0.56269836,2.0746307,11.855133,STAIRCLIMB
1581740380479,-0.88471985,1.9441376,12.604523,STAIRCLIMB
1581740380479,-0.9505615,2.127304,11.530716,STAIRCLIMB
1581740380491,-1.4533386,2.826416,10.472488,STAIRCLIMB
1581740380509,-2.2649689,3.444107,10.373123,STAIRCLIMB
1581740380533,-2.1907654,3.372284,9.202362,STAIRCLIMB
