Timestamp,Acc_X,Acc_Y,Acc_Z,Activity
1581831119942,-0.80900574,2.1168976,9.369644,STAIRDOWN
1581831119942,-0.79104614,2.0857697,9.384018,STAIRDOWN
1581831119942,-1.0579987,2.1959076,8.578354,STAIRDOWN
1581831119942,-1.1705322,2.3180084,9.192474,STAIRDOWN
1581831119942,-1.2591095,2.1683655,9.905945,STAIRDOWN
1581831119942,-0.94906616,2.1240692,9.854477,STAIRDOWN
1581831119942,-0.9837799,2.1575928,9.344513,STAIRDOWN
1581831119943,-1.0292664,2.174347,8.590332,STAIRDOWN
1581831119943,-0.5013428,2.04747,9.1649475,STAIRDOWN
1581831119943,-0.7874603,1.7182617,10.444641,STAIRDOWN
1581831119947,-0.976593,1.8451538,11.028824,STAIRDOWN
1581831119978,-0.80900574,2.052246,10.627808,STAIRDOWN
1581831119997,-0.5504303,2.131256,9.000946,STAIRDOWN
1581831120016,-0.84132385,2.1528015,8.379639,STAIRDOWN
1581831120036,-1.170517,2.2389984,8.767502,STAIRDOWN
1581831120056,-1.383606,2.2425842,9.260712,STAIRDOWN
1581831120076,-1.1010895,2.2162476,9.62822,STAIRDOWN
1581831120096,-0.8640747,2.0259094,9.672516,STAIRDOWN
1581831120116,-0.74435425,2.0941467,9.145782,STAIRDOWN
1581831120135,-0.77308655,2.0738068,9.078751,STAIRDOWN
1581831120207,-0.5025482,1.8643036,9.7144165,STAIRDOWN
1581831120207,-0.23799133,1.7134705,9.969391,STAIRDOWN
1581831120208,-0.2942505,1.7661438,9.873627,STAIRDOWN
1581831120215,-0.22003174,1.8631134,9.661743,STAIRDOWN
1581831120238,0.00024414062,1.7134705,9.302612,STAIRDOWN
1581831120255,0.1247406,1.6512299,9.421127,STAIRDOWN
1581831120276,0.22410583,1.4501038,9.788635,STAIRDOWN
1581831120294,0.08883667,1.5015869,9.60907,STAIRDOWN
1581831120314,-0.07518005,1.6093292,9.860458,STAIRDOWN
1581831120335,-0.348114,1.8200073,10.449432,STAIRDOWN
1581831120396,-0.3385315,2.083374,9.215225,STAIRDOWN
1581831120396,-0.27389526,2.095337,9.005737,STAIRDOWN
1581831120396,-0.36367798,2.0211182,9.574356,STAIRDOWN
1581831120414,-0.42593384,1.9600677,9.782639,STAIRDOWN
1581831120433,-0.2571411,1.9457092,9.576752,STAIRDOWN
1581831120453,-0.27030945,1.9062042,9.5168915,STAIRDOWN
1581831120473,-0.30142212,1.9600677,9.502533,STAIRDOWN
1581831120496,-0.034484863,1.8403625,9.366058,STAIRDOWN
1581831120517,0.02658081,1.7529755,9.5959015,STAIRDOWN
1581831120536,-0.21165466,1.8750763,9.808975,STAIRDOWN
1581831120596,-0.21643066,2.052246,9.392395,STAIRDOWN
1581831120596,-0.17692566,2.0474548,9.129028,STAIRDOWN
1581831120596,-0.2535553,2.0797882,9.355286,STAIRDOWN
1581831120612,-0.2068634,2.0151367,9.483368,STAIRDOWN
1581831120631,-0.27389526,2.06781,9.593506,STAIRDOWN
1581831120650,-0.17573547,2.0498505,9.618652,STAIRDOWN
1581831120672,0.0038452148,1.9708557,9.474991,STAIRDOWN
1581831120691,0.17262268,1.9660645,9.258316,STAIRDOWN
1581831120712,-0.5324707,2.2461853,8.396408,STAIRDOWN
1581831120733,-0.6689453,2.296463,9.859268,STAIRDOWN
1581831120765,-0.24157715,2.0809784,9.774277,STAIRDOWN
1581831120770,-0.26312256,2.0486603,9.497726,STAIRDOWN
1581831120790,-0.51690674,2.1899261,9.534851,STAIRDOWN
1581831120810,-0.40916443,2.150406,9.617447,STAIRDOWN
1581831120830,-0.19728088,2.1492157,9.428299,STAIRDOWN
1581831120850,-0.082351685,2.0055542,9.542023,STAIRDOWN
1581831120870,-0.094329834,2.0031738,9.793411,STAIRDOWN
1581831120894,-0.15777588,2.0019684,9.534851,STAIRDOWN
1581831120913,-0.3768463,2.0235138,9.4223175,STAIRDOWN
1581831120932,-0.3553009,2.0546417,9.376831,STAIRDOWN
1581831120990,-0.18171692,2.0031738,9.474991,STAIRDOWN
1581831120990,-0.21524048,2.0450592,9.6749115,STAIRDOWN
1581831120990,-0.22601318,1.9684448,9.515686,STAIRDOWN
1581831121009,-0.21165466,2.035492,9.318176,STAIRDOWN
1581831121028,-0.2798767,2.019928,9.395981,STAIRDOWN
1581831121048,-0.31819153,1.9983826,9.41394,STAIRDOWN
1581831121068,-0.26312256,1.964859,9.51091,STAIRDOWN
1581831121091,-0.3050232,1.9588776,9.554001,STAIRDOWN
1581831121112,-0.29185486,1.9900055,9.5959015,STAIRDOWN
1581831121131,-0.37086487,2.0103455,9.659348,STAIRDOWN
1581831121188,-0.34692383,2.0330963,9.567169,STAIRDOWN
1581831121188,-0.34213257,2.0366821,9.489349,STAIRDOWN
1581831121188,-0.40438843,2.0426788,9.460617,STAIRDOWN
1581831121206,-0.2822876,2.0378876,9.41275,STAIRDOWN
1581831121226,-0.43789673,2.0247192,9.406754,STAIRDOWN
1581831121247,-0.5037384,2.055832,9.43309,STAIRDOWN
1581831121267,-0.38284302,2.0103455,9.641388,STAIRDOWN
1581831121287,-0.42593384,2.028305,9.583939,STAIRDOWN
1581831121306,-0.39241028,2.028305,9.633011,STAIRDOWN
1581831121326,-0.37565613,1.9744415,9.538437,STAIRDOWN
1581831121345,-0.482193,2.0235138,9.406754,STAIRDOWN
1581831121366,-0.4343109,1.9588776,9.54921,STAIRDOWN
1581831121386,-0.44987488,1.9971924,9.515701,STAIRDOWN
1581831121406,-0.4714203,2.0606232,9.409149,STAIRDOWN
