Timestamp,Acc_X,Acc_Y,Acc_Z,Activity
1581738159422,1.3313751,5.652832,7.65419,WALK
1581738159439,0.81781006,5.7138977,7.925934,WALK
1581738159459,0.21806335,5.6217194,8.846497,WALK
1581738159479,-0.014175415,5.3415985,9.315765,WALK
1581738159498,0.591568,5.3930664,8.1258545,WALK
1581738159518,1.1613922,5.509186,7.0700073,WALK
1581738159538,1.6234741,5.8527527,7.010147,WALK
1581738159558,1.5911407,6.537506,8.420334,WALK
1581738159578,0.52931213,5.7641754,10.577515,WALK
1581738159598,-0.08001709,3.5543213,10.496109,WALK
1581738159622,0.872879,2.7570496,9.255905,WALK
1581738159637,1.5300903,3.4238434,8.452652,WALK
1581738159657,1.0871582,3.948166,8.399979,WALK
1581738159677,0.6777649,4.0846405,8.433502,WALK
1581738159697,0.40481567,3.1712494,8.216827,WALK
1581738159717,0.7028961,2.0890656,8.441879,WALK
1581738159737,1.243988,1.4366608,9.712006,WALK
1581738159757,0.96147156,1.2654724,11.195221,WALK
1581738159777,0.39285278,1.6425476,11.136551,WALK
1581738159796,0.067230225,2.2063904,9.386398,WALK
1581738159817,-0.30506897,2.4996796,7.9965515,WALK
1581738159836,0.021743774,2.4434052,7.91156,WALK
1581738159856,0.75198364,2.6493225,9.27626,WALK
1581738159876,0.79626465,2.7869873,9.738342,WALK
1581738159896,0.99139404,2.576294,9.069168,WALK
1581738159916,1.1087036,2.7283173,8.451462,WALK
1581738159935,0.72325134,2.97612,8.493362,WALK
1581738159955,0.57121277,2.7522583,8.496948,WALK
1581738159975,0.41677856,2.4625702,8.790237,WALK
1581738159995,0.536499,2.3883514,9.099091,WALK
1581738160017,0.06604004,2.5176392,9.544418,WALK
1581738160035,-0.04888916,2.6852264,9.613846,WALK
1581738160055,-0.10635376,2.5894623,9.526459,WALK
1581738160075,-0.39605713,2.0567474,9.064377,WALK
1581738160094,-0.7958832,0.49693298,9.034454,WALK
1581738160114,-0.77433777,-0.9264374,10.141769,WALK
1581738160134,0.30067444,-0.80911255,11.818909,WALK
1581738160154,1.848526,0.53523254,13.932983,WALK
1581738160174,2.1118774,0.44784546,12.623352,WALK
1581738160194,0.36410522,-0.344635,9.242752,WALK
1581738160214,-0.99220276,0.47776794,8.310196,WALK
1581738160233,-1.5213318,1.901123,10.682861,WALK
1581738160253,-0.06086731,2.7235413,13.244659,WALK
1581738160273,0.63705444,1.5276337,12.078674,WALK
1581738160293,-0.4906311,0.12223816,9.557571,WALK
1581738160313,-1.4842072,0.61424255,7.2495728,WALK
1581738160332,-0.9539032,2.7498627,7.305832,WALK
1581738160352,-0.15065002,4.0068207,11.243103,WALK
1581738160372,-0.41999817,2.7223358,12.33725,WALK
1581738160392,-0.65223694,1.4139099,10.251892,WALK
1581738160412,0.08039856,2.3775635,9.11824,WALK
1581738160431,1.0524445,2.474533,9.773056,WALK
1581738160452,1.2224426,1.9526062,9.193665,WALK
1581738160473,-0.2392273,1.5527649,7.848114,WALK
1581738160493,-0.6785736,2.134552,8.044449,WALK
1581738160513,-0.059661865,2.553543,9.502518,WALK
1581738160533,-0.37930298,2.2303314,8.74115,WALK
1581738160553,-0.7264557,1.9262695,7.681732,WALK
1581738160572,-0.19374084,1.3372955,7.951065,WALK
1581738160594,0.13786316,1.5108795,9.27626,WALK
1581738160612,-1.012558,2.2650452,8.834534,WALK
1581738160640,-1.5500641,3.1209717,8.299423,WALK
1581738160665,-0.7587738,2.6936035,7.7691193,WALK
1581738160672,-0.41999817,2.71875,7.795456,WALK
1581738160691,-0.54689026,2.947403,9.2164,WALK
1581738160711,-0.6294861,3.2514648,9.443863,WALK
1581738160731,-0.9359436,3.173645,9.987335,WALK
1581738160751,-1.0783997,2.7438812,10.314148,WALK
1581738160772,-1.1921234,1.8652191,11.200012,WALK
1581738160794,-0.76356506,1.9394379,9.763489,WALK
1581738160813,-0.2667694,4.0966034,9.650955,WALK
1581738160846,-0.18536377,4.783737,9.39238,WALK
1581738160851,-0.112335205,3.2023773,9.805389,WALK
1581738160878,0.31863403,2.2794037,10.250702,WALK
1581738160889,0.6394501,1.6892395,10.017258,WALK
1581738160909,0.88604736,1.5300293,9.263092,WALK
1581738160930,-0.00819397,2.122589,9.254715,WALK
1581738160950,-0.15184021,1.9681702,9.21402,WALK
1581738160970,0.18814087,1.4198914,9.477371,WALK
1581738160990,0.17617798,0.9817505,9.975372,WALK
1581738161017,-0.28471375,1.0739288,10.051987,WALK
1581738161030,-1.190918,1.2798309,9.756302,WALK
1581738161067,-1.9977722,2.2147675,9.161346,WALK
1581738161068,-1.2112732,1.947815,9.129013,WALK
1581738161088,0.19172668,1.4282684,9.430679,WALK
1581738161108,0.79985046,1.4318695,8.889603,WALK
1581738161128,0.54248047,1.7598724,8.756714,WALK
1581738161147,-0.5935669,2.176468,8.416748,WALK
1581738161169,-0.48703003,2.1489258,8.510117,WALK
1581738161189,0.6238861,1.6856537,8.593918,WALK
1581738161228,1.1039124,1.8053589,8.595108,WALK
1581738161241,0.54008484,2.0136566,8.571167,WALK
1581738161261,0.15582275,2.0088654,8.840515,WALK
1581738161266,-0.289505,2.1177979,9.085922,WALK
