Timestamp,Gyr_X,Gyr_Y,Gyr_Z,Activity
1581740007224,-1.0266113,-0.19906616,0.72135925,JOGGING
1581740007243,-0.98187256,-0.29067993,0.7032623,JOGGING
1581740007263,-0.5706787,-0.5196991,0.46995544,JOGGING
1581740007282,0.17393494,-0.10638428,0.039596558,JOGGING
1581740007304,0.5531769,0.6776581,-0.19795227,JOGGING
1581740007323,0.3305359,0.9130707,-0.09996033,JOGGING
1581740007343,-0.17547607,0.56900024,0.18873596,JOGGING
1581740007363,-0.6218109,-0.088272095,0.510437,JOGGING
1581740007385,-0.77308655,-0.6400757,0.63401794,JOGGING
1581740007404,-0.58132935,-0.7370148,0.4081726,JOGGING
1581740007469,-0.105163574,-0.41957092,-0.02218628,JOGGING
1581740007470,0.4051056,-0.078689575,-0.19369507,JOGGING
1581740007470,0.55422974,0.12478638,0.28886414,JOGGING
1581740007481,0.27513123,-0.024353027,0.8555908,JOGGING
1581740007502,-0.2649536,-0.090408325,1.0856781,JOGGING
1581740007523,-0.70277405,0.28137207,0.906723,JOGGING
1581740007541,-0.765625,1.1239929,0.5253601,JOGGING
1581740007562,-0.6186218,1.8036346,0.4071045,JOGGING
1581740007592,-0.81996155,1.8132324,0.6808777,JOGGING
1581740007603,-1.3621826,0.92160034,0.6872711,JOGGING
1581740007661,-1.7541962,-0.60705566,0.02255249,JOGGING
1581740007661,-1.6295624,-1.3974762,-0.8275299,JOGGING
1581740007661,-1.1224976,-0.37908936,-1.6105042,JOGGING
1581740007679,-0.7049103,0.3101349,-1.4113007,JOGGING
1581740007699,-0.28199768,0.28457642,-0.5537567,JOGGING
1581740007719,0.4562378,0.31333923,-0.070129395,JOGGING
1581740007738,1.1539764,-0.00944519,0.050247192,JOGGING
1581740007760,1.2722168,-0.3950653,0.29525757,JOGGING
1581740007790,0.6788635,0.108795166,0.90779114,JOGGING
1581740007798,-0.15948486,0.031036377,0.9429321,JOGGING
1581740007833,-0.5195465,-0.50372314,0.021484375,JOGGING
1581740007837,-0.33738708,-0.82969666,-0.6368408,JOGGING
1581740007858,0.15370178,-1.1524658,-0.5388489,JOGGING
