Timestamp,Gyr_X,Gyr_Y,Gyr_Z,Activity
1581740150804,-0.18612671,0.2089386,0.041732788,RUNNING
1581740150824,-0.2127533,0.21426392,0.04598999,RUNNING
1581740150844,-0.47694397,0.26113892,0.12055969,RUNNING
1581740150863,-0.90411377,0.29522705,0.17276001,RUNNING
1581740150886,-1.0426025,0.11306763,0.14611816,RUNNING
1581740150904,-0.77201843,-0.3439331,0.2973938,RUNNING
1581740150926,-0.39491272,-0.6198425,0.46676636,RUNNING
1581740150943,-0.20103455,-0.50798035,0.5700989,RUNNING
1581740150969,-0.15629578,-0.09892273,0.6233673,RUNNING
1581740151014,-0.19570923,0.22172546,0.64678955,RUNNING
1581740151015,-0.28518677,0.28990173,0.75971985,RUNNING
1581740151039,-0.42474365,0.18443298,0.8790283,RUNNING
1581740151042,-0.56962585,0.10774231,0.88967896,RUNNING
1581740151060,-0.683609,0.2089386,0.9472046,RUNNING
1581740151082,-0.72088623,0.30480957,1.0377502,RUNNING
1581740151102,-0.6079712,0.29948425,1.3807678,RUNNING
1581740151123,-0.29264832,0.35487366,1.6193848,RUNNING
1581740151142,-0.032730103,0.77671814,1.2081909,RUNNING
1581740151163,0.009887695,0.8161316,1.0537262,RUNNING
1581740151193,-0.07746887,0.32292175,0.71817017,RUNNING
1581740151201,-0.32354736,-0.109573364,0.6361389,RUNNING
1581740151223,-0.40023804,0.41133118,0.746933,RUNNING
1581740151240,0.045043945,1.6747437,0.68515015,RUNNING
1581740151260,0.67993164,2.0699463,0.45611572,RUNNING
1581740151280,0.82588196,1.1751251,0.22601318,RUNNING
1581740151300,0.21655273,-0.8424835,-0.33750916,RUNNING
1581740151321,0.37313843,-1.8512878,-1.2802734,RUNNING
1581740151340,1.8389435,-0.5761566,-1.5945282,RUNNING
1581740151363,3.6413727,0.95887756,-1.2238159,RUNNING
1581740151393,5.113571,1.6555634,-0.6645508,RUNNING
1581740151402,5.080551,1.2198792,-0.3961029,RUNNING
1581740151420,3.789444,0.13969421,-0.6272583,RUNNING
1581740151438,2.773178,-0.24699402,-0.70822144,RUNNING
1581740151459,2.8946228,0.6733856,-0.6325836,RUNNING
1581740151478,4.1015625,2.4683685,-0.5771942,RUNNING
1581740151497,5.130615,3.7743835,-0.4983673,RUNNING
1581740151521,4.966568,3.3493347,-0.53352356,RUNNING
1581740151542,3.8448334,2.1072388,-0.6453705,RUNNING
1581740151560,2.610199,1.9719543,-0.9819946,RUNNING
1581740151593,1.1742249,2.9306946,-1.801178,RUNNING
1581740151621,-0.8316803,3.3727722,-3.0720367,RUNNING
1581740151621,-2.7491455,2.8486633,-4.0030823,RUNNING
1581740151637,-4.271408,2.0113678,-4.1671295,RUNNING
1581740151657,-5.0607758,2.22229,-3.6110687,RUNNING
1581740151677,-5.019226,4.6074066,-3.8347778,RUNNING
1581740151697,-5.447464,7.176834,-6.5277557,RUNNING
1581740151719,-7.1135406,4.9067535,-6.7450714,RUNNING
1581740151739,-8.071213,0.13650513,-1.7298126,RUNNING
1581740151759,-5.530548,0.54556274,0.36663818,RUNNING
1581740151792,-2.1270294,2.766632,-0.41526794,RUNNING
1581740151796,-1.0393982,2.3362732,-0.08078003,RUNNING
1581740151825,-2.0737762,-1.0406189,1.6598663,RUNNING
1581740151845,-1.642868,-1.2797852,1.907547,RUNNING
1581740151865,0.15156555,-1.8907013,2.67453,RUNNING
1581740151885,1.4021912,-2.716278,3.343521,RUNNING
1581740151905,1.3617096,-3.6483917,3.5714874,RUNNING
1581740151927,0.15689087,-4.3770294,3.2593536,RUNNING
1581740151948,-1.0170288,-4.9650574,2.6787872,RUNNING
1581740151980,0.40776062,-6.5315247,2.9728088,RUNNING
