Timestamp,Gyr_X,Gyr_Y,Gyr_Z,Activity
1581738159459,-0.25642395,0.07470703,-0.06587219,WALK
1581738159479,-0.23937988,0.021453857,-0.048828125,WALK
1581738159498,-0.16482544,-0.20651245,0.014022827,WALK
1581738159518,-0.20529175,-0.30877686,0.02468872,WALK
1581738159538,-0.36402893,-0.18734741,-0.017929077,WALK
1581738159558,-0.48439026,0.04914856,-0.067993164,WALK
1581738159578,-0.4673462,0.16419983,0.04385376,WALK
1581738159599,-0.29690552,0.032104492,0.29418945,WALK
1581738159622,-0.30862427,-0.120224,0.38261414,WALK
1581738159638,-0.6495209,-0.17562866,0.14399719,WALK
1581738159657,-1.019165,-0.25019836,-0.14256287,WALK
1581738159677,-1.1342163,-0.23527527,-0.13191223,WALK
1581738159697,-1.0575104,-0.05204773,0.13760376,WALK
1581738159717,-1.0148926,0.09069824,0.36557007,WALK
1581738159737,-1.0500488,0.22384644,0.3208313,WALK
1581738159757,-0.99147034,0.217453,0.028945923,WALK
1581738159777,-0.75390625,-0.064834595,-0.28530884,WALK
1581738159797,-0.50250244,-0.37376404,-0.40994263,WALK
1581738159817,-0.4172821,-0.26724243,-0.30981445,WALK
1581738159836,-0.50038147,0.116256714,-0.09463501,WALK
1581738159856,-0.5951843,0.4837799,0.04598999,WALK
1581738159876,-0.49824524,0.6499634,0.07582092,WALK
1581738159896,-0.28199768,0.7138672,0.13546753,WALK
1581738159916,-0.17227173,0.8736572,0.18873596,WALK
1581738159936,-0.2841339,0.99723816,0.18980408,WALK
1581738159955,-0.6026459,0.7628784,0.26542664,WALK
1581738159975,-0.77841187,0.8097534,0.3048401,WALK
1581738159995,-0.8156891,0.69895935,0.254776,WALK
1581738160017,-0.82421875,0.4688568,0.11416626,WALK
1581738160035,-0.7698822,0.26539612,0.04385376,WALK
1581738160055,-0.6889343,0.1812439,0.08114624,WALK
1581738160075,-0.7123718,0.17271423,0.09605408,WALK
1581738160095,-0.92222595,0.042755127,0.028945923,WALK
1581738160114,-1.1501923,-0.3194275,-0.09996033,WALK
1581738160134,-1.0447235,-0.8786926,-0.28211975,WALK
1581738160154,-0.37680054,-1.1141205,-0.4546814,WALK
1581738160174,0.6873932,-1.6286469,-0.6826477,WALK
1581738160194,1.401123,-2.2156067,-0.9308624,WALK
1581738160214,1.2988586,-1.2462158,-0.7742615,WALK
1581738160234,0.7800751,0.8342438,-0.18518066,WALK
1581738160254,0.59898376,1.7418518,0.34106445,WALK
1581738160273,0.9654236,1.457428,0.2505188,WALK
1581738160293,1.2178955,0.6126709,-0.11805725,WALK
1581738160313,0.98353577,-0.35458374,-0.15641785,WALK
1581738160333,0.20483398,-0.23527527,0.18659973,WALK
1581738160353,-0.57388306,0.5381012,0.5583801,WALK
